 В-1 МКРН.|СТР.34|САМАРСКАЯ ОБЛ.,ЖИГУЛЕВСК|ПОЛИКЛИНИКА №  2 ЦГБ ЖИГУЛЕВСКОЙ|Поликлиника - взрослая
<>|3|ОМСКАЯ ОБЛ.,ПОС.РОСТОВКА|АМБУЛАТОРИЯ СИБИРСКАЯ|Амбулатория
<>|6А|УЛАН-УДЭ,ПОС.СОКОЛ|ГОР.ПОЛИКЛИНИКА №  1 ОТДЕЛЕНИЕ ВРАЧЕЙ ОБЩЕЙ ПРАКТИКИ МУЗ|Поликлиника - взрослая
<>|СТР.32|МО,ПОС.ШИШКИН ЛЕС|ПОЛИКЛИНИКА ПРИ ЦРБ 'КУЗНЕЧИКИ' МИХАЙЛОВО-ЯРЦЕВСКОЕ ОТДЕЛЕ|Поликлиника - взрослая
1 МАЯ|47А|МО,ПОС.ВОСТРЯКОВО|АМБУЛАТОРИЯ ВОСТРЯКОВСКАЯ|Амбулатория
10 ЛЕТ ОКТЯБРЯ|194|ОМСК|ЦЕНТР ГЕРОНТОЛОГИЧЕСКИЙ 'КУЙБЫШЕВСКИЙ'|Медицинский центр - взрослый
1905 ГОДА|6|ПЕРМЬ|АПТЕКА 'ПЛАНЕТА ЗДОРОВЬЯ'|Аптека
1905 ГОДА УЛ.|19|НОВОСИБИРСК|ГОР.ПОЛИКЛИНИКА № 20 ПОЛИКЛИНИЧЕСКОЕ ОТД.№  1|Поликлиника - взрослая
1-Й БОЙНЫЙ ПЕР.|9|ПЕРМЬ|ПОЛИКЛИНИКА №  1 МСЧ №140 ФГУЗ|Мед.сан.часть (поликлиника)
1-Й КОЖУХОВСКИЙ ПР.|-|МОСКВА|КЛИНИКА ДОКТОРА ЗАГЕРА|Поликлиника - взрослая
1-Й МКРН.|14|ЭЛИСТА|ГОР.ПОЛИКЛИНИКА ФИЛИАЛ №  2|Поликлиника - взрослая
1812 ГОДА|10 К.1|МОСКВА|АПТЕКА 'СТОЛИЧНЫЕ АПТЕКИ' №8/222 ГУП|Сетевая аптека
18-Й ПР.|104|ТУЛА,ПОС.МЯСНОВО|ПОЛИКЛИНИКА ГБ № 10|Поликлиника - взрослая
19-Я РАБОЧАЯ|90|ОМСК|АМБУЛАТОРИЯ ВРАЧЕЙ ОБЩЕЙ ПРАКТИКИ ГБ №  2|Амбулатория
1-Й ПАВЕЛЕЦКИЙ ПР.|15342|МОСКВА|ПОЛИКЛИНИКА МОС.ЖД СТ.МОСКВА-ПАВЕЛЕЦКАЯ|Поликлиника - взрослая
1-Й ПАРХОМЕНКО ПЕР.|32|НОВОСИБИРСК|ГОР.ПОЛИКЛИНИКА № 26 ОТДЕЛЕНИЕ №  1|Поликлиника - взрослая
1-ОЙ КОННОЙ АРМИИ УЛ.|33|РОСТОВ-НА-ДОНУ Г.|ОКБ №2 РО. ПОЛИКЛИНИКА|Поликлиника - взрослая
1-Я БРЕСТСКАЯ УЛ.|-|МОСКВА|МЕД.ЦЕНТР КМ ФИЛИАЛ|Медицинский центр - взрослый
1-Я МАГИСТРАЛЬНАЯ|-|МОСКВА|МЕД.ЦЕНТР КОРПОРАЦИЯ СЕМЕЙНОЙ МЕДИЦИНЫ|Медицинский центр - взрослый
1-Я МИУССКАЯ|-|МОСКВА|МЕД.ЦЕНТР СЕМЕЙНЫЙ ДОКТОР|Медицинский центр - взрослый
1-Я НАПРУДНАЯ|-|МОСКВА|ДИСПАНСЕР ВРАЧЕБНО-ФИЗКУЛЬТУРНЫЙ № 17 ОКРУЖНОЙ|Диспансер
1-Я СТАХАНОВСКАЯ|6|КЕМЕРОВО|МСЧ 'КОКС'|Мед.сан.часть (поликлиника)
20-ЛЕТИЯ ОКТЯБРЯ|42А|ВОРОНЕЖ|ГОР.ПОЛИКЛИНИКА № 10 ВРАЧЕЙ ОБЩЕЙ ПРАКТИКИ ОТД.|Поликлиника - взрослая
25 ОКТЯБРЯ ПР-Т|16|ЛО,ГАТЧИНА|МЕД.ЦЕНТР 'СТОМАМЕДСЕРВИС'|Медицинский центр - взрослый
25 ОКТЯБРЯ ПР-Т|22|ЛО,ГАТЧИНА|АПТЕКА 'СМС-КРАСОТА И ЗДОРОВЬЕ'|Аптека
25-ГО ПАРТСЪЕЗДА|40|АЛТАЙСКИЙ КРАЙ,ЗАРИНСК|ПОЛИКЛИНИКА ЦГБ|Поликлиника - взрослая
2-Й АВТОЗАВОДСКИЙ ПР.|-|МОСКВА|МСЧ № 34|Мед.сан.часть (поликлиника)
2-Й ВЫШЕСЛАВЦЕВ ПЕР.|7|МОСКВА|ПОЛИКЛИНИКА №  1 МСЧ ГУВД МОСКВЫ|Мед.сан.часть (поликлиника)
2-Й МКРН.|1 А|МО,ПГТ ПОВАРОВО|ПОЛИКЛИНИКА ЦРБ|Поликлиника - взрослая
2-Й МУРИНСКИЙ ПР-Т|35|САНКТ-ПЕТЕРБУРГ|ГОР.ПОЛИКЛИНИКА № 14|Поликлиника - взрослая
2-Й МУРИНСКИЙ ПР-Т|9|САНКТ-ПЕТЕРБУРГ|ПОЛИКЛИНИКА ПРИ ГДЦ №  1|Поликлиника - взрослая
2-Й ТВЕРСКОЙ-ЯМСКОЙ ПЕР.|10|МОСКВА|АПТЕКА МЕДИЦИНА ОАО|Аптека
2-Я КОМСОМОЛЬСКАЯ|23 К.1|САНКТ-ПЕТЕРБУРГ|ГОР.ПОЛИКЛИНИКА №105|Поликлиника - взрослая
2-Я ЛЮБИНСКАЯ|2В|ОМСК|ГОР.ПОЛИКЛИНИКА №  6 ФИЛИАЛ|Поликлиника - взрослая
2-Я МЕЛИТОПОЛЬСКАЯ|-|МОСКВА|ГОР.ПОЛИКЛИНИКА №141|Поликлиника - взрослая
2-Я ПУГАЧЕВСКАЯ|8|МОСКВА|ГОР.ПОЛИКЛИНИКА №122|Поликлиника - взрослая
35-Я ЛИНИЯ УЛ.|6|РОСТОВ-НА-ДОНУ Г.|ГБ №6 Г.РОСТОВА-НА-ДОНУ. ПОЛИКЛИНИКА|Поликлиника - взрослая
3-ГО ИНТЕРНАЦИОНАЛА УЛ.|60|МИЛЛЕРОВО Г.|ЦРБ МИЛЛЕРОВСКОГО Р-НА РО. ПОЛИКЛИНИКА|Поликлиника - взрослая
3-Й КВ-Л|27|МОСКВА,КАПОТНЯ|ПОЛИКЛИНИКА ГБ № 49|Поликлиника - взрослая
3-Й МИТИНСКИЙ ПЕР.|-|МОСКВА|МЕД.ЦЕНТР ТВОЙ ДОКТОР|Медицинский центр - взрослый
3-Й САМОТЕЧНЫЙ ПЕР.|2|МОСКВА|МЕД.ЦЕНТР МЕДСТАЙЛ ЭФФЕКТ|Медицинский центр - взрослый
3-Й САМОТЕЧНЫЙ ПЕР.|21|МОСКВА|МЕД.ЦЕНТР АВС|Медицинский центр - взрослый
3-Й СЫРОМЯТНИЧЕСКИЙ ПЕР.|1|МОСКВА|ГОР.ПОЛИКЛИНИКА №116|Поликлиника - взрослая
3-Я ЧЕРЕПКОВСКАЯ|-|МОСКВА|ПОЛИКЛИНИКА КОНСУЛЬТАТИВНАЯ НИИ КАРДИОЛОГИИ ИМ.МЯСНИКОВА|Поликлиника - взрослая
40 ЛЕТ ПОБЕДЫ|2|КРАСНОЯРСК|ПОЛИКЛИНИКА №  2 ГБ №  2 МУЗ|Поликлиника - взрослая
40 ЛЕТ ПОБЕДЫ|76|САМАРСКАЯ ОБЛ.,ТОЛЬЯТТИ|ГОР.ПОЛИКЛИНИКА №  3 ВРАЧЕЙ ОБЩЕЙ ПРАКТИКИ ОТД.|Поликлиника - взрослая
20-ЛЕТИЯ ОКТЯБРЯ|94|ВОРОНЕЖ|ГОР.ПОЛИКЛИНИКА №  6|Поликлиника - взрослая
22-ГО ПАРТСЪЕЗДА УЛ.|43|САМАРА|ПОЛИКЛИНИКА ПРИ ГОСПИТАЛЕ ВЕТЕРАНОВ ВОЙН|Поликлиника - взрослая
22-Й МКРН.|23|ИРКУТСКАЯ ОБЛ.,АНГАРСК|ПОЛИКЛИНИКА №  4 БСМП МУЗ|Поликлиника - взрослая
232 СТРЕЛКОВОЙ ДИВИЗИИ|45А|ВОРОНЕЖ,ПГТ ПРИДОНСКОЙ|ГОР.ПОЛИКЛИНИКА № 21|Поликлиника - взрослая
25 ЛЕТ ОКТЯБРЯ|14|КАЗАНЬ|КДЦ ГОР.ПОЛИКЛИНИКЕ № 17|Диагностический центр взрослый
25 ОКТЯБРЯ УЛ.|47|КОНСТАНТИНОВСК Г.|ЦРБ КОНСТАНТИНОВСКОГО Р-НА РО. ПОЛИКЛИНИКА|Поликлиника - взрослая
2-Й БОТКИНСКИЙ ПР.|-|МОСКВА|МЕД.ЦЕНТР ГЛАВУПДК МИД РОССИИ|Медицинский центр - взрослый
2-Й ТВЕРСКОЙ-ЯМСКОЙ ПЕР.|10|МОСКВА|КЛИНИКА МЕДИЦИНА ОАО|Поликлиника - взрослая
2-Я ДУБРОВСКАЯ|-|МОСКВА|МЕД.ЦЕНТР ЛЕЙКОМЕД|Медицинский центр - взрослый
2-Я ЗАГОРОДНАЯ|-|АСТРАХАНЬ|КЛИНИКА НАРКОЛОГИЧЕСКАЯ АГМА|Поликлиника - взрослая
2-Я КОМСОМОЛЬСКАЯ|40 К.2|САНКТ-ПЕТЕРБУРГ|ПОЛИКЛИНИКА № 50 ГОР.ПОЛИКЛИНИКИ № 91|Поликлиника - взрослая
2-Я МОСКОВСКАЯ|авг.19|МО,СЕРПУХОВ|ГОР.ПОЛИКЛИНИКА ГБ ИМ.СЕМАШКО|Поликлиника - взрослая
2-Я РЕЙСОВАЯ|-|МОСКВА,ПОС.ВНУКОВО|МСЧ АЭРОПОРТА ВНУКОВО|Мед.сан.часть (поликлиника)
30 ЛЕТ ВЛКСМ|77|КРАСНОЯРСКИЙ КРАЙ,НАЗАРОВО|ПОЛИКЛИНИКА ЦРБ|Поликлиника - взрослая
3-ГО ИНТЕРНАЦИОНАЛА|185|МО,НОГИНСК|ГОР.ПОЛИКЛИНИКА ОТДЕЛЕНИЕ №  3|Поликлиника - взрослая
1-Я МЫТИЩИНСКАЯ|-|МОСКВА|ПОЛИКЛИНИКА ОТДЕЛЕНЧЕСКАЯ НА СТ.МОСКВА-КУРСКАЯ РЖД НУЗ|Поликлиника - взрослая
1-Я ПЕРВОМАЙСКАЯ|2|МО,РОШАЛЬ|ПОЛИКЛИНИКА ГБ РОШАЛЬСКОЙ|Поликлиника - взрослая
1-Я СЕВЕРНАЯ ЛИНИЯ|27|МОСКВА|ПОЛИКЛИНИКА ПРИ ГКБ № 43|Поликлиника - взрослая
1-Я СОВЕТСКАЯ|54|МО,ПГТ ШАХОВСКАЯ|ПОЛИКЛИНИКА ПРИ ЦРБ ШАХОВСКАЯ|Поликлиника - взрослая
1-Я СОВЕТСКАЯ|6|МО,ПОС.ДОРОХОВО|ПОЛИКЛИНИКА ПОСЕЛКОВАЯ|Поликлиника - взрослая
1-Я СОКОЛЬНИЧЕСКАЯ|8|МОСКВА|МСЧ №  2 МОСМЕТРОСТРОЯ|Мед.сан.часть (поликлиника)
20-ЛЕТИЯ ОКТЯБРЯ|40|ВОРОНЕЖ|АПТЕКА 'ВЛАСТА-ФАРМА' №  6|Аптека
20-ЛЕТИЯ ОКТЯБРЯ|73|ВОРОНЕЖ|ПНД ОБЛАСТНОЙ КЛИНИЧЕСКИЙ ГЛАВНЫЙ КОРПУС|Диспансер
20-ЛЕТИЯ ОКТЯБРЯ|80|ВОРОНЕЖ|АПТЕКА 'НАТУР ПРОДУКТ' №  6|Аптека
20-ЛЕТИЯ ОКТЯБРЯ|82|ВОРОНЕЖ|ГОР.ПОЛИКЛИНИКА № 10 ДНЕВНОЙ СТАЦИОНАР|Поликлиника - взрослая
21-Я ЛИНИЯ УЛ.|8|РОСТОВ-НА-ДОНУ Г.|КДЦ ЗДОРОВЬЕ. ФИЛИАЛ 21Я ЛИНИЯ|Диагностический центр взрослый
22-ГО ПАРТСЪЕЗДА|43|САМАРА|ЛДЦ 'АЛЛЕРГОЛОГИИ И ИММУНОЛОГИИ' АОЗТ|Медицинский центр - взрослый
25 ЛЕТ ОКТЯБРЯ|136|ВОРОНЕЖСКАЯ ОБЛ.,СЕМИЛУКИ|ПОЛИКЛИНИКА ЦРБ СЕМИЛУКСКОЙ ИМ.А.В.ГОНЧАРОВА МУЗ|Поликлиника - взрослая
26 БАКИНСКИХ КОМИССАРОВ|-|МОСКВА|ГОР.ПОЛИКЛИНИКА №124|Поликлиника - взрослая
26 БАКИНСКИХ КОМИССАРОВ|4|КРАСНОЯРСК|ГОР.ПОЛИКЛИНИКА №  2 ГБ №  5|Поликлиника - взрослая
2-Й АКМОЛИНСКИЙ ПР.|1|САРАТОВ|ГОР.ПОЛИКЛИНИКА №  4 1-Й КОРПУС|Поликлиника - взрослая
2-Й БОТКИНСКИЙ ПР.|-|МОСКВА|КДЦ ГКБ ИМ.БОТКИНА|Диагностический центр взрослый
2-Й КВ-Л|16|САМАРА,ПОС.МЕХЗАВОД|МЕД.ЦЕНТР 'ФОРТУНА'|Медицинский центр - взрослый
2-Й МКРН.|9|НИЖЕГОРОДСКАЯ ОБЛ.,КСТОВО|АПТЕКА ГЕРАСЬКИНА ИП|Аптека
50 ЛЕТ ВЛКСМ|14|НИЖЕГОРОДСКАЯ ОБЛ.,ЛЫСКОВО|ПОЛИКЛИНИКА ЦРБ|Поликлиника - взрослая
50 ЛЕТ ВЛКСМ|97|ТЮМЕНЬ|АПТЕЧНЫЙ ПУНКТ ОТ АПТЕКИ №240|Аптека
50 ЛЕТ ОКТЯБРЯ|29А|САМАРСКАЯ ОБЛ.,С.ПРИВОЛЖЬЕ|ПОЛИКЛИНИКА ПРИ ЦРБ|Поликлиника - взрослая
50 ЛЕТ ОКТЯБРЯ ПР-Т|110А К.1Б|САРАТОВ|ПОЛИКЛИНИКА 'ТАНМЕД'|Поликлиника - взрослая
50 ЛЕТ ПИОНЕРИИ|39|ИЖЕВСК|МСЧ №  8 ПОЛИКЛИНИКА|Мед.сан.часть (поликлиника)
53 СТРЕЛКОВОЙ ДИВИЗИИ|06.сен|САРАТОВ|КЛИНИКА ПРОФПАТОЛОГИИ И ГЕМАТОЛОГИИ|Поликлиника - взрослая
5-Й МКРН|-|ВОЛГОГРАДСКАЯ ОБЛ.,КАМЫШИН|ГОР.ПОЛИКЛИНИКА №  1|Поликлиника - взрослая
5-Я КОРДНАЯ|73|ОМСК|ПОЛИКЛИНИКА МСЧ №  9 МУЗ|Мед.сан.часть (поликлиника)
60-Й АРМИИ|35|ВОРОНЕЖ|АПТЕКА 'ЗОДИАК'|Аптека
60-ЛЕТИЯ ВЛКСМ|8|ВОРОНЕЖ|АПТЕКА 'СОВИНФАРМ' ООО|Аптека
8 МАРТА|16|ИВАНОВО|ГОР.ПОЛИКЛИНИКА № 10|Поликлиника - взрослая
2-Й НОРСКИЙ ПЕР.|9|ЯРОСЛАВЛЬ|ПОЛИКЛИНИКА ПРИ ГКБ №  4|Поликлиника - взрослая
2-Я БЕРЕЗОВАЯ АЛЛЕЯ|03.май|САНКТ-ПЕТЕРБУРГ|ПОЛИКЛИНИКА ГКОДА|Поликлиника - взрослая
2-Я ВЛАДИМИРСКАЯ|-|МОСКВА|ЦЕНТР ГОМЕОПАТИЧЕСКИЙ ГЛ.КОРПУС|Медицинский центр - взрослый
2-Я ЗАПОРОЖСКАЯ|05.июл|ПЕРМЬ|ПОЛИКЛИНИКА №  3 ГОР.ПОЛИКЛИНИКИ КЛИНИЧЕСКОЙ №  5|Поликлиника - взрослая
2-Я КАБЕЛЬНАЯ|2\25,2\37|МОСКВА|МЕД.ЦЕНТР СКАНДИНАВСКИЙ ЦЕНТР ЗДОРОВЬЯ ООО|Медицинский центр - взрослый
2-Я КОРОТКАЯ|6|МАЙКОП|ДИСПАНСЕР ОНКОЛОГИЧЕСКИЙ КЛИНИЧЕСКИЙ РЕСПУБЛИКАНСКИЙ|Диспансер
2-Я ПРОГОННАЯ|-|МОСКВА|ГОР.ПОЛИКЛИНИКА №186|Поликлиника - взрослая
2-Я ФРУНЗЕНСКАЯ|9|МОСКВА|ЦЕНТР ДЕТСКИЙ ДИАГНОСТИКИ И ЛЕЧЕНИЯ ИМ.СЕМАШКО|Диагностический центр детский
